id,Country (or dependency),Population 2025,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Median Age,Urban Pop %,World Share
1,India,1463865525,0.89%,12929734,492,2973190,"−495,753",1.94,28.8,37.1%,17.78%
2,China,1416096094,−0.23%,"−3,225,184",151,9388211,"−268,126",1.02,40.1,67.5%,17.20%
3,United States,347275807,0.54%,1849236,38,9147420,1230663,1.62,38.5,82.8%,4.22%
4,Indonesia,285721236,0.79%,2233305,158,1811570,"−39,509",2.1,30.4,59.6%,3.47%
5,Pakistan,255219554,1.57%,3950390,331,770880,"−1,235,336",3.5,20.6,34.4%,3.10%
6,Nigeria,237527782,2.08%,4848304,261,910770,"−15,258",4.3,18.1,54.9%,2.89%
7,Brazil,212812405,0.38%,813832,25,8358140,"−217,283",1.6,34.8,91.4%,2.59%
8,Bangladesh,175686899,1.22%,2124535,1350,130170,"−402,100",2.11,26.0,42.6%,2.13%
9,Russia,143997393,−0.57%,"−823,030",9,16376870,"−251,822",1.47,40.3,75%,1.75%
10,Ethiopia,135472051,2.58%,3412284,135,1000000,24054,3.81,19.1,22.5%,1.65%
11,Mexico,131946900,0.83%,1085893,68,1943950,"−108,037",1.87,29.6,87.9%,1.60%
12,Japan,123103479,−0.52%,"−649,562",338,364555,140579,1.23,49.8,93.1%,1.50%
13,Egypt,118365995,1.57%,1827737,119,995450,"−57,305",2.71,24.5,40.9%,1.44%
14,Philippines,116786962,0.81%,943292,392,298170,"−149,315",1.88,26.1,49.3%,1.42%
15,DR Congo,112832473,3.25%,3556208,50,2267050,"−27,309",5.9,15.8,45%,1.37%
16,Vietnam,101598527,0.6%,610841,328,310070,"−48,171",1.88,33.4,41.4%,1.23%
17,Iran,92417681,0.93%,849943,57,1628550,116786,1.67,34.0,73.3%,1.12%
18,Turkey,87685426,0.24%,211621,114,769630,"−258,205",1.62,33.5,76.9%,1.07%
